case_id,crime_no,case_category,registered_date,unit_id,district_id,crime_head_id,crime_subhead_id,gravity,status,lat,lng,brief_facts
1,100040019202500011,FIR,2025-08-01,19,4,3,9,Heinous,Charge Sheeted,17.41047,76.84714,Molestation reported in the jurisdiction.
2,100060030202500007,FIR,2025-08-01,30,6,2,7,Non-Heinous,Closed,13.38416,77.11906,Murder reported in the jurisdiction.
3,100050025202500010,FIR,2025-08-01,25,5,2,8,Heinous,Undetected,12.88094,74.89906,Assault reported in the jurisdiction.
4,100030016202500006,FIR,2025-08-02,16,3,2,8,Non-Heinous,Under Investigation,15.84769,74.40632,Assault reported in the jurisdiction.
5,100050024202500011,FIR,2025-08-02,24,5,5,14,Non-Heinous,Closed,13.00149,74.77071,Peddling reported in the jurisdiction.
6,100050025202500001,FIR,2025-08-03,25,5,1,5,Non-Heinous,Charge Sheeted,12.89848,74.88316,Robbery reported in the jurisdiction.
7,100040020202500003,FIR,2025-08-03,20,4,6,16,Non-Heinous,Charge Sheeted,17.38571,76.72183,Public Nuisance reported in the jurisdiction.
8,100030017202500005,FIR,2025-08-03,17,3,1,1,Non-Heinous,Under Investigation,15.9433,74.40861,Theft reported in the jurisdiction.
9,100060028202500019,FIR,2025-08-03,28,6,2,7,Heinous,Charge Sheeted,13.40394,77.01678,Murder reported in the jurisdiction.
10,100010006202500019,FIR,2025-08-03,6,1,5,14,Non-Heinous,Under Investigation,12.91089,77.6194,Peddling reported in the jurisdiction.
11,100050026202500017,FIR,2025-08-04,26,5,2,6,Heinous,Under Investigation,12.96839,74.90975,Grievous Hurt reported in the jurisdiction.
12,100040019202500018,FIR,2025-08-04,19,4,2,8,Non-Heinous,Charge Sheeted,17.43334,76.84409,Assault reported in the jurisdiction.
13,100020008202500014,FIR,2025-08-04,8,2,1,5,Non-Heinous,Charge Sheeted,12.3231,76.57026,Robbery reported in the jurisdiction.
14,100010002202500014,FIR,2025-08-04,2,1,3,10,Heinous,Undetected,12.90954,77.52396,Domestic Violence Complaint reported in the jurisdiction.
15,100030013202500019,FIR,2025-08-04,13,3,5,13,Non-Heinous,Charge Sheeted,15.75094,74.47244,Possession reported in the jurisdiction.
16,100030013202500003,FIR,2025-08-05,13,3,2,6,Heinous,Charge Sheeted,15.74905,74.4566,Grievous Hurt reported in the jurisdiction.
17,100040021202500007,FIR,2025-08-05,21,4,1,1,Non-Heinous,Under Investigation,17.24865,76.7932,Theft reported in the jurisdiction.
18,100040022202500017,FIR,2025-08-05,22,4,1,4,Non-Heinous,Under Investigation,17.22855,76.77544,Vehicle Theft reported in the jurisdiction.
19,100060028202500025,FIR,2025-08-05,28,6,1,5,Non-Heinous,Closed,13.41109,77.03469,Robbery reported in the jurisdiction.
20,100040019202500006,FIR,2025-08-06,19,4,5,13,Heinous,Charge Sheeted,17.43226,76.8408,Possession reported in the jurisdiction.
21,100030014202500007,FIR,2025-08-06,14,3,1,4,Non-Heinous,Charge Sheeted,15.8196,74.46726,Vehicle Theft reported in the jurisdiction.
22,100030017202500007,FIR,2025-08-06,17,3,1,1,Non-Heinous,Under Investigation,15.9394,74.37767,Theft reported in the jurisdiction.
23,100040019202500014,FIR,2025-08-06,19,4,3,10,Heinous,Under Investigation,17.42934,76.84335,Domestic Violence Complaint reported in the jurisdiction.
